Sio2_Arctic,Sio2_Atlantic,Sio2_Indiana,Sio2_Southern,,,TiO2_Arctic,TiO2_Atlantic,TiO2_Indiana,TiO2_Southern,,,Al2O3_Arctic,Al2O3_Atlantic,Al2O3_Indiana,Al2O3_Southern
,45.11,50.22,41.47,,,1.35,3.19,1.91,0.26,, ,,17.57,15.49,7.55
,45.34,49.49,51,,,0.72,3.33,1.48,2.84,,,,16.41,13.59,15.95
50.2149,46.28,50.3,50.93,,,1.5602,3.3,1.44,1.53,,,16.0882,15.64,15.62,17.81
,46.88,49.56,50.75,,,1.69,3.1,1.55,1.35,,,,16.74,13.91,14.67
51.6607,43.85,51.72,51.4,,,1.5761,3.64,2.16,1.42,,,16.4136,16.33,16.19,15.4
,45.65,49.78,51.4,,,1.56,2.71,2.07,1.42,,,,14.99,14.83,15.4
45.7,42.63,49.32,48.89,,,0.02,1.73,1.49,2.03,,,0.9,8.83,13.65,16.57
45.67,45.21,50.45,70.1,,,0.02,3.68,1.36,0.5,,,0.9,16.03,15.92,14.31
39.34,45.11,48.7,49.9,,,0.02,2.69,1.1,2.31,,,0.77,13.17,15.72,13.37
39.9,44.14,50.21,38.3,,,0.03,2.31,0.99,3.96,,,1.51,11.28,16,11.6
49.48,45.4,46.24,50.07,,,3.18,2.66,2.18,1.58,,,15.22,14.3,11.35,17.14
48.46,45.28,44.94,71.45,,,2.51,3.54,3.03,0.47,,,14.69,16.06,14.75,13.3
51.18,44.63,45.07,46.52,,,2.86,3.81,2.62,2.08,,,14.35,16.87,11.96,16.77
49.69,48.37,43.94,49.66,,,1.77,3.49,2.6,1.39,,,14.17,17.34,11.16,15.04
47.88,45.98,44.46,49.89,,,2.891,3.48,2.81,2.48,,,13.17,17.56,12.28,16.73
50.06,44.11,46.35,43.4,,,1.27,2.73,3.1,,,,14.36,12.89,14.3,0.78
49.57,48.86,43.86,52.88,,,1.757,3.18,2.58,1.07,,,14.64,16.61,11.74,15.4
,53.06,42.07,70.23,,,1.82,1.23,1.98,0.13,,,,17.52,8.86,12.64
50.96,43.42,44.34,55.08,,,1.54,3.09,2.54,1.53,,,14.2,13.11,10.65,17.32
48.19,49.86,44.72,54.49,,,0.99,2.87,3.39,1.51,,,15.08,17.03,14.13,17.13
48.66,55.18,46.4,,,,1.35,0.8,3.1,,,,15.96,17.68,14.12,
46.27,45.12,42.76,46.64,,,2.73,3.29,2.83,0.26,,,14.85,15.23,10.09,2.57
50.3,44.33,50.72,50.29,,,1.35,3.08,1.82,1.27,,,13.25,14.64,14.63,14.8
50.95,46.94,50.98,50.2,,,1.55,2.76,1.52,2.1,,,13.81,16.12,14.78,13.9
49.86,47.67,51.9,51.17,,,1.32,2.89,0.71,1.59,,,14.59,16.03,14.84,14.56
49.53,57.02,52.03,46.61,,,1.4,0.25,0.69,1.46,,,14.01,18.72,14.82,16.54
43.59,59.74,51.95,50.11,,,0.74,0.07,0.7,2.17,,,10.54,19.37,14.82,16.03
51.01,54.06,48.07,,,,1.21,1.98,0.9,,,,14.23,14.53,17.3,
45.67,50.86,50.44,48.03,,,2.57,1.86,1.93,0.45,,,14.45,17.32,15.08,2.91
50.77,47.11,49.85,49.28,,,1.61,3.14,1.9,1.47,,,14.32,16.55,15.24,17.07
50.62,46.96,50.06,49.1,,,1.57,2.99,1.88,1.93,,,13.51,16.92,15.22,18.47
50.43,57.08,50.62,45.98,,,0.914,0.51,1.14,2.36,,,14.17,8.07,14.72,14.09
50.87,48.95,50.32,76.35,,,1.09,2.7,1.53,0.25,,,14.73,17.28,15.89,11.53
51.33,44.32,50.62,49.62,,,1.93,3.16,1.13,2.54,,,13.4,13.31,14.67,16.84
51.15,44.31,50.23,49.25,,,1.26,3.19,1.57,1.22,,,14.06,13.88,15.99,15.34
50.63,59.78,51.9,55.45,,,1.37,0.07,0.69,0.67,,,13.8,9.25,14.67,17.78
50.5303,58.11,52.51,49.38,,,1.6291,0.03,0.79,1.35,,,15.3404,18.78,14.32,15.12
,59.3,50.52,48.88,,,1.62,0.08,1.17,4,,,,19.22,14.83,7.86
,52.99,51.7,49.37,,,1.27,0.75,0.7,2.14,,,,13.56,14.73,16.06
48.19,48.22,51.72,50.3,,,1.62,2.85,0.77,1.29,,,15.35,15.29,14.46,15.04
47.14,45.07,51.74,43.9,,,1.55,1.97,0.76,,,,12.59,9.44,14.52,0.8
49.95,53.1,51.81,52.88,,,2.806,0.96,0.75,0.64,,,13.497,17.16,14.58,17.68
48.81,45.11,51.87,46.31,,,2.94,2.77,0.68,0.99,,,15.03,14.2,14.75,11.24
,46.53,51.86,48.6,,,1.55,2.98,0.7,1.48,,,,16.77,14.72,15.43
,44.64,52.52,51.55,,,1.67,3.57,0.81,0.57,,,,12.92,14.27,17.29
51.89,45.6,51.84,52.7,,,1.27,3.23,0.69,0.83,,,15.4,15.59,14.68,12.95
43.119,46.1,52.27,,,,2.111,2.59,0.75,,,,10.689,14.06,14.11,
50.22,46.21,52.15,39.19,,,1.81,2.31,0.69,0.05,,,16.15,12.18,14.8,0.64
49.7339,51.85,51.69,50.7,,,1.4694,1.54,0.76,1.2,,,16.627,15.54,14.51,15.53
49.73,51.1,51.92,52.85,,,,1.51,0.69,1.4,,,,15.76,14.8,16.03
,51.1,51.85,42.82,,,1.41,1.51,0.7,0.35,,,,15.76,14.82,6.7
49.89,42.7,51.4,52.33,,,0.83,3.47,0.75,1.56,,,13.83,11.5,14.65,16.64
48.15,41.3,51.82,47.53,,,0.9,6.05,0.77,3.5,,,14.18,11.9,14.59,14.99
50.28,47,51.81,50.35,,,1.48,4.11,0.77,1.44,,,14.04,16.4,14.58,16.35
50.48,41,51.74,67.26,,,1.94,5.26,0.77,0.69,,,14.29,11.6,14.58,13.78
49.73,43.7,52.11,55.48,,,1.823,3.3,0.69,0.74,,,15.55,11.2,14.69,15.58
46.6028,57.6,52.22,54.03,,,2.6867,1.26,0.67,0.66,,,15.7441,18.9,14.9,17.86
45.49,41.6,52.09,50.44,,,0.59,5.43,0.69,1.23,,,8.56,10.5,14.77,15.37
49.8322,40.9,52.17,50.22,,,1.5392,5.15,0.69,2.25,,,16.6684,8.92,14.85,16.42
,42.7,51.9,47.49,,,1.51,5.61,0.7,0.8,,,,13.4,14.88,17.17
48.3,41.3,52.08,43.32,,,1.96,3.97,0.68,3.22,,,13.96,10.7,14.84,17.06
49.94,45.9,51.96,49.64,,,2.98,3.37,0.7,1.04,,,14.88,16.5,14.84,16.2
48.94,43.8,52.03,49.74,,,2.17,2.97,0.7,1.03,,,13.97,10,14.87,16.09
,43,51.61,49.74,,,2.03,3.71,0.7,1.03,,,,12.7,14.8,16.09
53.71,42.3,52.24,51.75,,,2.08,3.38,0.7,2.76,,,14.51,7.43,14.84,15.63
48.59,43.2,52.27,50,,,1.08,3.67,0.69,1.43,,,15.74,11.7,14.71,14.71
50.1717,43.5,52.14,49.9,,,1.4619,3.9,0.69,1.87,,,16.509,13.1,14.86,14.6
,44.3,52.16,45,,,1.45,4.03,0.68,0.07,,,,15.1,14.92,1.97
36.08,54,52.15,43.52,,,0.02,1.22,0.7,0.3,,,1.01,20.1,14.79,5.71
46.73,54,52.07,49.08,,,0.81,1.14,0.7,1.43,,,11.06,20.1,14.84,15.22
49.56,39.5,52.2,48.81,,,1.12,4.68,0.7,1.49,,,14.16,9.54,14.93,16.89
50.3207,55.6,52.01,48.43,,,1.7442,0.94,0.7,1.14,,,16.1593,20.7,14.88,15.61
,42.8,52.07,50.3,,,1.76,4.04,0.7,2,,,,13.1,14.85,13.88
49.6509,42.6,52.15,50.8,,,1.5176,3.79,0.69,1.88,,,16.6351,12.2,14.94,13.85
,45.4,44.89,39.45,,,1.52,3.31,5.36,2.56,,,,12.1,12.5,11.84
50.55,44.8,50.35,45.08,,,1.52,3.07,1.54,0.01,,,14.1,11.9,15.32,0.58
43.85,44.1,50.3,52.27,,,0.69,3.82,1.72,1.55,,,10.1,12.7,15.42,16.49
49.9519,45,50.83,44.03,,,1.3737,3.56,1.56,0.43,,,16.913,11.4,15.4,6.92
,44.6,49.5,47.47,,,1.34,2.52,1.9,0.54,,,,9.8,15.46,17.9
49.27,42.7,49.84,49.48,,,1.98,3.36,1.98,1.99,,,14.21,11.3,15.32,17.18
45.91,39.8,50.06,50,,,1.72,5.39,1.88,1.04,,,13.65,9.21,15.51,16.03
50.5049,47.5,50.66,50,,,1.2961,4.75,1.52,1.04,,,16.8391,16.7,15.23,16.03
,43.1,49.59,50.83,,,1.25,4.65,2.42,1.69,,,,12.9,16.12,14.43
46.04,41.4,49.6,50.54,,,0.68,5.23,2.03,2.59,,,9.72,9.35,15.38,16.31
50.2289,42.1,49.14,49.33,,,1.4823,3.72,2,2.63,,,15.7517,10.7,15.93,16.41
51.16,42.3,50.43,50.51,,,1.256,3.02,1.54,1.33,,,13.8,8.94,15.31,15
50.9624,43.1,50.17,49.61,,,1.8189,4.03,1.58,1.52,,,15.3819,10.4,15.12,17.55
,41.1,50.83,38.45,,,1.82,4.34,1.49,2.4,,,,10.3,15.54,13.23
47.67,42,50.84,50.12,,,1.73,5.41,1.44,1.13,,,13.98,11.3,15.43,15.41
50.09,44,50.56,50,,,1.21,3.2,1.51,1.94,,,15.33,10.3,15.31,14.05
50.58,44.6,50.6,53.04,,,1.09,3.65,1.47,0.58,,,15.19,12.8,15.52,18.26
50.05,39,51.22,50.43,,,1.39,1.4,1.53,1.96,,,13.63,5.4,15.58,13.95
50.73,43.5,50.93,45.89,,,1.99,4.87,1.61,3.07,,,13.24,14.1,15.47,17.97
,42.5,50.66,50.95,,,,3.87,1.73,1.31,,,,14.2,15.44,14.62
53.11,42.4,50.83,,,,1.77,3.84,1.74,,,,14.17,11.6,15.22,
,42,50.72,39.52,,,1.59,3.29,1.73,0.04,,,,11,15.32,0.44
50.6,41.3,50.86,49.13,,,1.74,5.23,1.88,1.35,,,16.07,12.6,15.14,15.71
50.84,32.4,50.62,50.47,,,1.35,7.75,1.72,1.03,,,15.58,8.33,15.09,15.64
50.76,43.2,50.76,47.44,,,1.55,3.76,1.23,2.63,,,13.82,12.5,15.07,16.5
50.1028,44.1,50.06,49.72,,,1.7063,3.97,1.42,1.6,,,15.8179,13.9,16.75,17.4
,44.9,49.9,49.47,,,1.8,3.51,0.92,1.58,,,,14.3,17.37,16.36
51.3,40.8,50.68,48.5,,,1.37,4.14,1.05,1.59,,,15.3,7.62,17.38,16.55
,53.8,50.55,45.49,,,1.56,1.21,1.12,3.37,,,,20.7,15.65,14.53
50.73,43,49.72,48.5,,,1.56,6.12,1.18,1.48,,,13.95,8.63,14.81,15.36
46.14,33.2,50.41,65.74,,,0.67,11.71,0.95,0.56,,,9.87,8.83,15.78,15.03
,31.5,47.02,67.58,,,1.19,7.18,1.12,0.64,,,,10.1,15.56,14.36
51.11,44.4,50.72,57.28,,,1.27,3.83,0.7,0.21,,,14.87,14,16.84,18.81
49.1,43.4,50.69,48.59,,,1.3,3.93,0.72,1.46,,,14.32,13.3,16.82,15.26
51.59,43,51.22,44.19,,,1.34,3.32,1.52,0.38,,,15.95,11.2,15.39,6.75
51.35,50.02,50.99,51,,,1.27,0.99,1.56,1.02,,,15.72,14.87,14.65,15.62
47.43,50.63,50.56,50.4,,,1.76,1.46,1.55,1.79,,,13.89,13.54,15.39,14.28
50.1232,50.59,50.5,,,,1.3701,1.41,1.43,,,,17.0412,14.11,15.17,
,50.5,50.88,39.95,,,1.36,0.96,1.64,0.47,,,,14.71,15.64,2.09
50.5552,49.56,51.7,43.3,,,1.6333,0.76,1.77,,,,16.134,16.02,15,0.74
,49.49,51.06,44.6,,,1.62,0.78,1.73,,,,,16.25,15,0.86
50.68,48.82,51.66,49.98,,,1.29,0.75,1.76,1.16,,,13.99,15.88,14.96,15.73
51,49.72,51.27,49.4,,,1.6,0.86,1.77,1.66,,,15.5,16.14,14.98,14.4
46.76,49.37,50.8,50.27,,,1.52,0.8,1.74,1.42,,,14.89,16,15.4,16.64
51.01,49.48,48.05,50.18,,,3.57,0.76,0.99,1.5,,,12.5,16.05,16.31,17.83
50.2541,50.72,48,53.25,,,2.2551,1.82,4.46,1.05,,,15.1582,14.63,12.12,15.63
,50.98,53.23,49.8,,,2.25,1.52,2.77,3.07,,,,14.78,17.07,12.9
51.9492,51.41,51.77,44.43,,,1.6272,1.24,2.92,0.42,,,16.5332,15.45,15.96,6.76
51.9,51.34,50.67,49.13,,,1.62,1.56,3.83,2.1,,,16.7,15.31,16.21,16.5
,50.85,51.7,,,,1.56,1.65,3.46,,,,,15.29,15.55,
50.74,51.26,50.17,45.47,,,1.09,1.36,3.29,3.52,,,14.63,15.89,14.41,15.19
50.98,48.16,44.75,50.48,,,1.39,2.7,3.54,2.16,,,13.87,16.52,9.05,15.07
47.81,47,51.3,50.21,,,0.92,2.409,4.19,2.18,,,14.36,14.07,15.49,16.17
47.57,49.37,48.57,45.66,,,2.85,2.269,4.23,0.01,,,14.46,16.1,14.27,0.78
49.88,45.42,47.79,43.6,,,1.63,3.219,4.52,0.01,,,15.3,16.85,13.74,0.76
49.32,47.65,48.1,57.37,,,1.45,3.43,5.91,0.62,,,14.78,13.2,9.89,15.75
,46.76,49.22,50.43,,,,3.645,3.71,0.91,,,,12.12,13.18,18.19
50.47,51.12,47.85,48.2,,,1.63,2.918,2.59,0.84,,,15.44,15.86,10.01,17.56
49.4,47.62,51.66,43.58,,,1.91,3.765,3.02,0.02,,,17.45,13.92,14.29,0.88
36.82,47.44,54.86,51.2,,,0.04,3.062,2.79,2.02,,,1.98,14.12,15.9,16.84
50.4671,50.94,51.34,49.8,,,1.5766,2.818,3.32,1.43,,,16.7445,16.04,4.36,14.8
,48.22,49.57,63.09,,,1.58,2.613,3.39,0.78,,,,15.62,12.71,14.89
50.17,48.38,50.78,44.77,,,1.8,2.729,2.35,0.11,,,15.35,16.29,14.23,3.47
49.42,48.95,50.86,50.87,,,2.01,2.304,1.56,2.03,,,14.22,15.92,15.49,14.53
36.11,46.29,50.76,49.83,,,0.02,3.497,1.51,1.88,,,1.04,15.26,15.26,14.6
48.44,44.95,50.7,50.52,,,2.4,3.192,1.48,1.34,,,12.04,10.77,15.52,14.3
49.33,48.45,51.09,,,,1.02,3.699,1.51,,,,14.3,16.35,15.69,
,47.49,50.9,45.12,,,,3.813,1.44,0.29,,,,13.89,15.48,1.92
,47.82,51.17,43.3,,,,1.939,1.56,,,,,14.04,15.57,0.7
49.43,47.68,50.96,48.78,,,1.011,2.665,1.58,1.91,,,14.24,14.77,15.61,16.7
,46.21,50.92,51.49,,,1.02,3.133,1.59,2.43,,,,12.33,15.63,17.8
48.66,45.81,51.07,50.29,,,1.02,3.262,1.59,1.41,,,17.66,12.65,15.52,15.14
50.2715,45.16,50.71,43,,,1.2057,3.38,1.6,0.02,,,17.3564,10.6,15.6,0.62
,45.17,50.45,48.46,,,1.19,2.824,1.69,1.88,,,,10.44,15.38,16.64
50.23,44.46,50.32,51.66,,,0.945,3.309,1.75,0.65,,,13.7,12.37,15.38,15.58
51.044,43.9,50.35,67.36,,,3.221,3.406,1.55,0.65,,,13.427,12.44,15.52,14.57
50.98,44.31,50.61,50.21,,,,2.792,1.77,1.79,,,,10.79,15.35,16.99
50.9821,44.58,49,54.72,,,1.9182,3.518,0.66,0.6,,,14.7355,13.35,18.62,18.83
51,44.85,49.21,49.13,,,1.89,3.473,1.04,0.52,,,14.7,11.86,16.68,19.28
,53,48.66,68.76,,,1.91,,0.86,0.67,,,,,17.18,13.03
49.7,50.44,46.5,61.84,,,1.29,1.93,0.9,0.65,,,13.95,15.08,14.68,16.88
49.7,50.3,50.19,43.26,,,,,0.7,2.81,,,,,16.64,18.66
49.6971,56,45.76,44,,,1.7024,,0.91,,,,15.5533,,16.21,0.91
,62.04,49.05,63.96,,,1.68,,1.06,0.59,,,,,15.85,15.49
,55.8,50.44,44.1,,,,,1.14,0.01,,,,,15.75,0.91
50.79,60.6,50.37,46.92,,,0.97,,0.7,0.43,,,13.95,,16.71,8.92
50.45,54.67,50.64,50,,,0.96,,0.69,1.3,,,14.18,,16.93,15.1
49.34,57.21,50.7,69.11,,,2.73,,0.69,0.66,,,13.46,,16.76,13.23
51.5,49,50.07,42.9,,,2,,0.72,,,,18.3,,16.75,0.65
51.3,55.17,50.3,50.5,,,2.04,,0.7,2.35,,,14.25,,16.46,16.72
51.3,60.94,51,51.88,,,2.04,,1.54,1.32,,,14.25,,15.32,15.8
50.56,53.7,51.06,43.45,,,1.58,,1.61,0.47,,,14.13,,15.46,7.46
,54.1,51.3,47.61,,,1.5,,1.69,1.27,,,,,15.4,14.4
48.47,53.48,51.3,40.24,,,2.43,,1.69,3.39,,,15.39,,15.4,13.09
,59.55,50.9,49.48,,,1.43,,1.88,2.05,,,,,15.4,16.74
